date,ticker,price
2024-01-01,AAPL,150.21880191967736
2024-01-02,AAPL,149.19667843077124
2024-01-03,AAPL,151.28792737522573
2024-01-04,AAPL,151.42495534837678
2024-01-05,AAPL,151.06867259678015
2024-01-06,AAPL,151.15635263176142
2024-01-07,AAPL,149.6241184820858
2024-01-08,AAPL,150.31128450219003
2024-01-09,AAPL,149.14695989777618
2024-01-10,AAPL,148.69212699919026
2024-01-11,AAPL,147.55256894356828
2024-01-12,AAPL,146.1366484666063
2024-01-13,AAPL,145.79036731520534
2024-01-14,AAPL,145.35789003475713
2024-01-15,AAPL,146.0101412352268
2024-01-16,AAPL,143.75627809292206
2024-01-17,AAPL,144.671927017235
2024-01-18,AAPL,143.43920180814678
2024-01-19,AAPL,143.75197978913857
2024-01-20,AAPL,144.36653264167268
